idDataGridViewTextBoxColumn1  nameDataGridViewTextBoxColumn                                                                         genreidDataGridViewTextBoxColumn  yearDataGridViewTextBoxColumn  actorsDataGridViewTextBoxColumn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                       summaryDataGridViewTextBoxColumn                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                      
1                             6 Minutes Till Midnight                                                                               9                                 2021                           Нигеф Линдзи, Джуди Денч, Еди Изард и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                             Великобритания, 15 август 1939 г .: 17 дни преди Втората световна война учител по английски език и камерата му изчезват в крайбрежно училище-пансион с 20 германски момичета. Милър получава работата 6 дни по-късно, опитвайки се тайно да разбере какво се е случило.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               
2                             Black Widow                                                                                           6                                 2021                           Скарлет Йохансон, Флорънс Пъг, Дейвид Харбор, Ричел Вайс и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                        Филм, разказващ историята на Наташа Романов в мисиите й между филмите Отмъстителите: Цивилна война и Отмъстителите: Безкрайна война.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
3                             The Forever Purge                                                                                     16                                2021                           Ана де ла Регуера, Джош Лукас, Касиди Фрийман и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Всички правила са нарушени, тъй като сектата от беззаконни мародери решава, че годишното прочистване не спира при изгрев и вместо това никога не трябва да приключва.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
4                             F9                                                                                                    6                                 2021                           Вин Дизел, Мишел Родригес, Джон Сина и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                            Без значение колко си бърз, никой не може да избяга от миналото си...                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
5                             Godzilla vs. Kong                                                                                     11                                2021                           Ана Кендрик, Даниел Дае Ким, Шамиер Андерсон и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                    Във времена в които чудовищата бродят по Земята, хората се борят да оцеляват между титаните Годзила и Конг.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           
6                             Killer Among Us                                                                                       16                                2020                           Яаша Джаксън, Андрю Ричардсън, Брус Мак-Витие и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   На 4-ти юли, жена новобранец в полицята с партньор старши детектив, имат за цел да спасят живота на ученик от средно училище от ръцете на радикализиран сериен убиец.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
7                             Looney Tunes                                                                                          1                                 2020                           ЛеБрон Джеймс, Зендая, Соник-Мартен Грийн и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Звездата на NBA – ЛеБрон Джеймс, си пратнира с Бъгс Бъни и останалите от екипа на Looney Tunes за това дълго-очаквано продължение.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
8                             Mortal Kombat                                                                                         11                                2018                           Луис Тан, Джесика МакНами, Джош Лаусън, Джо Таслим и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                              ММА боецът Коул Йънг търси най-големите шампиони на Земята, за да се изправи срещу враговете на Външния свят в битка с високи залози за Вселената.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                    
10                            Nobody                                                                                                6                                 2018                           Боб Оденкрик, Алексей Серебряков, Кони Нилелсон                                                                                                                                                                                                                                                                                                                                                                                                                                                                       Наблюдател, който се намесва, за да помогне на жена, тормозена от група мъже, става мишена на отмъстителен наркобос.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                  
11                            Stowaway                                                                                              14                                2019                           Анна Кендрик, Даниел Дае Ким, Шамиер Андерсон и др.                                                                                                                                                                                                                                                                                                                                                                                                                                                                   Екипаж от трима с мисия до Марс се изправя пред невъзможен избор, когато неплануван пътник застрашава всички на борда.                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                
